Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
2.25776   	-2.27153e+01	-3.55280e+01	-3.39331e+01		         0.20833	2.80000e+01	
2.27582   	-1.67616e+01	-3.69509e+01	-3.58033e+01		         0.21000	2.70000e+01	
2.29388   	-1.61440e+01	-3.80045e+01	-3.85509e+01		         0.21167	2.60000e+01	
2.31194   	-1.73584e+01	-3.90434e+01	-3.84676e+01		         0.21333	2.50000e+01	
2.33000   	-1.81968e+01	-3.92554e+01	-3.73330e+01		         0.21500	2.30000e+01	
2.34805   	-1.68684e+01	-4.07187e+01	-3.80385e+01		         0.21667	2.20000e+01	
2.36611   	-1.68971e+01	-4.03514e+01	-3.72141e+01		         0.21833	2.10000e+01	
2.38417   	-1.73595e+01	-3.95387e+01	-3.80459e+01		         0.22000	2.10000e+01	
2.40223   	-2.07721e+01	-3.96475e+01	-4.01071e+01		         0.22167	2.00000e+01	
2.42029   	-2.69871e+01	-3.90860e+01	-3.92582e+01		         0.22333	1.90000e+01	
					         0.22500	1.80000e+01	
					         0.22667	1.70000e+01	
					         0.22833	1.60000e+01	
					         0.23000	1.50000e+01	
					         0.23167	1.40000e+01	
					         0.23333	1.30000e+01	
					         0.23500	1.20000e+01	
					         0.23667	1.00000e+01	
					         0.23833	9.00000e+00	
					         0.24000	8.00000e+00	
					         0.24167	7.00000e+00	
					         0.24333	5.00000e+00	
					         0.24500	4.00000e+00	
					         0.24667	3.00000e+00	
					         0.24833	2.00000e+00	
					         0.25000	1.00000e+00	
					         0.25167	0.00000e+00	
					         0.25333	-1.00000e+00	
					         0.25500	-3.00000e+00	
					         0.25667	-4.00000e+00	
					         0.25833	-6.00000e+00	
					         0.26000	-7.00000e+00	
					         0.26167	-9.00000e+00	
					         0.26333	-1.00000e+01	
					         0.26500	-1.20000e+01	
					         0.26667	-1.40000e+01	
					         0.26833	-1.60000e+01	
					         0.27000	-1.70000e+01	
					         0.27167	-1.80000e+01	
					         0.27333	-2.00000e+01	
					         0.27500	-2.10000e+01	
					         0.27667	-2.10000e+01	
					         0.27833	-2.20000e+01	
					         0.28000	-2.20000e+01	
					         0.28167	-2.20000e+01	
					         0.28333	-2.10000e+01	
					         0.28500	-2.10000e+01	
					         0.28667	-2.00000e+01	
					         0.28833	-1.90000e+01	
					         0.29000	-1.80000e+01	
					         0.29167	-1.70000e+01	
					         0.29333	-1.60000e+01	
					         0.29500	-1.50000e+01	
					         0.29667	-1.30000e+01	
					         0.29833	-1.20000e+01	
					         0.30000	-1.10000e+01	
					         0.30167	-1.00000e+01	
					         0.30333	-9.00000e+00	
					         0.30500	-8.00000e+00	
					         0.30667	-8.00000e+00	
					         0.30833	-7.00000e+00	
					         0.31000	-6.00000e+00	
					         0.31167	-5.00000e+00	
					         0.31333	-4.00000e+00	
					         0.31500	-3.00000e+00	
					         0.31667	-2.00000e+00	
					         0.31833	-2.00000e+00	
					         0.32000	-1.00000e+00	
					         0.32167	-1.00000e+00	
					         0.32333	0.00000e+00	
					         0.32500	0.00000e+00	
					         0.32667	0.00000e+00	
					         0.32833	0.00000e+00	
					         0.33000	0.00000e+00	
					         0.33167	0.00000e+00	
					         0.33333	0.00000e+00	
					         0.33500	1.00000e+00	
					         0.33667	1.00000e+00	
					         0.33833	1.00000e+00	
					         0.34000	1.00000e+00	
					         0.34167	1.00000e+00	
					         0.34333	2.00000e+00	
					         0.34500	3.00000e+00	
					         0.34667	3.00000e+00	
					         0.34833	4.00000e+00	
					         0.35000	5.00000e+00	
					         0.35167	6.00000e+00	
					         0.35333	6.00000e+00	
					         0.35500	7.00000e+00	
					         0.35667	7.00000e+00	
					         0.35833	8.00000e+00	
					         0.36000	8.00000e+00	
					         0.36167	8.00000e+00	
					         0.36333	8.00000e+00	
					         0.36500	8.00000e+00	
					         0.36667	7.00000e+00	
					         0.36833	7.00000e+00	
					         0.37000	7.00000e+00	
					         0.37167	7.00000e+00	
					         0.37333	7.00000e+00	
					         0.37500	7.00000e+00	
					         0.37667	7.00000e+00	
					         0.37833	7.00000e+00	
					         0.38000	7.00000e+00	
					         0.38167	8.00000e+00	
					         0.38333	8.00000e+00	
					         0.38500	9.00000e+00	
					         0.38667	9.00000e+00	
					         0.38833	9.00000e+00	
					         0.39000	1.00000e+01	
					         0.39167	1.00000e+01	
					         0.39333	1.10000e+01	
					         0.39500	1.10000e+01	
					         0.39667	1.10000e+01	
					         0.39833	1.20000e+01	
					         0.40000	1.20000e+01	
					         0.40167	1.20000e+01	
					         0.40333	1.20000e+01	
					         0.40500	1.30000e+01	
					         0.40667	1.30000e+01	
					         0.40833	1.30000e+01	
					         0.41000	1.30000e+01	
					         0.41167	1.30000e+01	
					         0.41333	1.30000e+01	
					         0.41500	1.40000e+01	
					         0.41667	1.40000e+01	
					         0.41833	1.40000e+01	
					         0.42000	1.40000e+01	
					         0.42167	1.40000e+01	
					         0.42333	1.50000e+01	
					         0.42500	1.50000e+01	
					         0.42667	1.60000e+01	
					         0.42833	1.70000e+01	
					         0.43000	1.70000e+01	
					         0.43167	1.80000e+01	
					         0.43333	1.80000e+01	
					         0.43500	1.80000e+01	
					         0.43667	1.90000e+01	
					         0.43833	1.90000e+01	
					         0.44000	1.90000e+01	
					         0.44167	1.80000e+01	
					         0.44333	1.80000e+01	
					         0.44500	1.70000e+01	
					         0.44667	1.70000e+01	
					         0.44833	1.60000e+01	
					         0.45000	1.60000e+01	
					         0.45167	1.50000e+01	
					         0.45333	1.50000e+01	
					         0.45500	1.50000e+01	
					         0.45667	1.50000e+01	
					         0.45833	1.50000e+01	
					         0.46000	1.50000e+01	
					         0.46167	1.60000e+01	
					         0.46333	1.60000e+01	
					         0.46500	1.70000e+01	
					         0.46667	1.80000e+01	
					         0.46833	1.90000e+01	
					         0.47000	1.90000e+01	
					         0.47167	2.00000e+01	
					         0.47333	2.10000e+01	
					         0.47500	2.10000e+01	
					         0.47667	2.10000e+01	
					         0.47833	2.10000e+01	
					         0.48000	2.20000e+01	
					         0.48167	2.20000e+01	
					         0.48333	2.10000e+01	
					         0.48500	2.10000e+01	
					         0.48667	2.10000e+01	
					         0.48833	2.00000e+01	
					         0.49000	2.00000e+01	
					         0.49167	1.90000e+01	
					         0.49333	1.90000e+01	
					         0.49500	1.90000e+01	
					         0.49667	1.80000e+01	
					         0.49833	1.80000e+01	
					         0.50000	1.80000e+01	
					         0.50167	1.80000e+01	
					         0.50333	1.70000e+01	
					         0.50500	1.70000e+01	
					         0.50667	1.70000e+01	
					         0.50833	1.70000e+01	
					         0.51000	1.60000e+01	
					         0.51167	1.60000e+01	
					         0.51333	1.60000e+01	
					         0.51500	1.60000e+01	
					         0.51667	1.60000e+01	
					         0.51833	1.60000e+01	
					         0.52000	1.60000e+01	
					         0.52167	1.60000e+01	
					         0.52333	1.60000e+01	
					         0.52500	1.50000e+01	
					         0.52667	1.50000e+01	
					         0.52833	1.50000e+01	
					         0.53000	1.50000e+01	
					         0.53167	1.60000e+01	
					         0.53333	1.60000e+01	
					         0.53500	1.60000e+01	
					         0.53667	1.60000e+01	
					         0.53833	1.60000e+01	
					         0.54000	1.60000e+01	
					         0.54167	1.70000e+01	
					         0.54333	1.70000e+01	
					         0.54500	1.80000e+01	
					         0.54667	1.80000e+01	
					         0.54833	1.80000e+01	
					         0.55000	1.80000e+01	
					         0.55167	1.90000e+01	
					         0.55333	1.80000e+01	
					         0.55500	1.80000e+01	
					         0.55667	1.80000e+01	
					         0.55833	1.80000e+01	
					         0.56000	1.70000e+01	
					         0.56167	1.70000e+01	
					         0.56333	1.60000e+01	
					         0.56500	1.50000e+01	
					         0.56667	1.40000e+01	
					         0.56833	1.30000e+01	
